#Mean of hydro_01m.dat hydro_02m.dat hydro_03m.dat hydro_04m.dat hydro_05m.dat hydro_06m.dat hydro_07m.dat hydro_08m.dat hydro_09m.dat hydro_11m.dat
#Fields: dist.z  meanFes  stdDeviation  stdError
#gnuplot command: plot './mintozeroFes.dat' u 1:2:4 w e
 -2.0400   0.7214   5.3031   1.6770
 -2.0200   0.6638   5.3553   1.6935
 -2.0000   0.8176   5.4627   1.7275
 -1.9800   1.2240   5.5901   1.7677
 -1.9600   1.8358   5.7212   1.8092
 -1.9400   2.5369   5.8602   1.8532
 -1.9200   3.2127   6.0118   1.9011
 -1.9000   3.7904   6.1578   1.9473
 -1.8800   4.2308   6.2443   1.9746
 -1.8600   4.5181   6.2090   1.9635
 -1.8400   4.6389   6.0387   1.9096
 -1.8200   4.6047   5.7847   1.8293
 -1.8000   4.4657   5.5236   1.7467
 -1.7800   4.3086   5.3154   1.6809
 -1.7600   4.2289   5.1704   1.6350
 -1.7400   4.2911   5.0892   1.6093
 -1.7200   4.4934   5.0880   1.6090
 -1.7000   4.7762   5.2015   1.6449
 -1.6800   5.0651   5.4555   1.7252
 -1.6600   5.3177   5.8362   1.8456
 -1.6400   5.5484   6.2956   1.9908
 -1.6200   5.8211   6.7844   2.1454
 -1.6000   6.2141   7.2447   2.2910
 -1.5800   6.7675   7.6194   2.4095
 -1.5600   7.4647   7.8585   2.4851
 -1.5400   8.2338   7.9251   2.5061
 -1.5200   8.9877   7.8174   2.4721
 -1.5000   9.6551   7.5623   2.3914
 -1.4800  10.2195   7.2206   2.2834
 -1.4600  10.7030   6.8791   2.1754
 -1.4400  11.1431   6.6277   2.0959
 -1.4200  11.5468   6.5077   2.0579
 -1.4000  11.8898   6.4850   2.0507
 -1.3800  12.1348   6.5095   2.0585
 -1.3600  12.2753   6.5809   2.0811
 -1.3400  12.3724   6.6840   2.1137
 -1.3200  12.5157   6.7301   2.1283
 -1.3000  12.7775   6.6225   2.0942
 -1.2800  13.1718   6.3518   2.0086
 -1.2600  13.6682   6.0233   1.9047
 -1.2400  14.2270   5.7681   1.8240
 -1.2200  14.8365   5.6481   1.7861
 -1.2000  15.5007   5.6376   1.7828
 -1.1800  16.2098   5.6540   1.7880
 -1.1600  16.9286   5.6167   1.7762
 -1.1400  17.6097   5.4925   1.7369
 -1.1200  18.2229   5.3281   1.6849
 -1.1000  18.7785   5.2218   1.6513
 -1.0800  19.3146   5.2380   1.6564
 -1.0600  19.8690   5.3594   1.6948
 -1.0400  20.4425   5.5123   1.7431
 -1.0200  21.0172   5.6187   1.7768
 -1.0000  21.5677   5.6227   1.7781
 -0.9800  22.0855   5.5016   1.7398
