#Mean of hydro_01m.dat hydro_02m.dat hydro_03m.dat hydro_04m.dat hydro_05m.dat hydro_06m.dat hydro_07m.dat hydro_08m.dat hydro_09m.dat hydro_10m.dat
#Fields: dist.z  meanFes  stdDeviation  stdError
#gnuplot command: plot './mintozeroFes.dat' u 1:2:4 w e
  3.1000  12.6582   6.6325   2.0974
  3.1200  13.5154   6.6537   2.1041
  3.1400  14.4082   6.6546   2.1044
  3.1600  15.2688   6.6784   2.1119
  3.1800  16.0482   6.7474   2.1337
  3.2000  16.7158   6.8230   2.1576
  3.2200  17.2561   6.8144   2.1549
  3.2400  17.6751   6.6580   2.1055
  3.2600  18.0113   6.3817   2.0181
  3.2800  18.3298   6.1075   1.9314
  3.3000  18.7167   5.9506   1.8817
  3.3200  19.2583   5.9639   1.8860
  3.3400  19.9997   6.1204   1.9355
  3.3600  20.9405   6.3226   1.9994
  3.3800  22.0068   6.4515   2.0401
  3.4000  23.0818   6.4464   2.0385
  3.4200  24.0607   6.3467   2.0070
  3.4400  24.8955   6.2563   1.9784
  3.4600  25.6020   6.2884   1.9886
  3.4800  26.2435   6.5237   2.0630
  3.5000  26.8984   6.9576   2.2002
  3.5200  27.6250   7.4602   2.3591
  3.5400  28.4408   7.8485   2.4819
  3.5600  29.3259   8.0063   2.5318
  3.5800  30.2366   7.9747   2.5218
  3.6000  31.1272   7.9015   2.4987
  3.6200  31.9843   7.9155   2.5031
  3.6400  32.8170   8.0338   2.5405
  3.6600  33.6516   8.1861   2.5887
  3.6800  34.5072   8.2998   2.6246
  3.7000  35.3905   8.3437   2.6385
  3.7200  36.3093   8.2964   2.6235
  3.7400  37.2725   8.1458   2.5759
  3.7600  38.2845   7.9081   2.5008
  3.7800  39.3355   7.6375   2.4152
  3.8000  40.3959   7.3941   2.3382
  3.8200  41.4206   7.2204   2.2833
  3.8400  42.3763   7.1080   2.2478
  3.8600  43.2414   7.0252   2.2216
  3.8800  44.0112   6.9481   2.1972
  3.9000  44.7052   6.8710   2.1728
  3.9200  45.3617   6.8119   2.1541
  3.9400  46.0286   6.7808   2.1443
  3.9600  46.7434   6.7488   2.1341
  3.9800  47.5197   6.6613   2.1065
  4.0000  48.3478   6.4754   2.0477
  4.0200  49.2001   6.1924   1.9582
  4.0400  50.0557   5.8448   1.8483
  4.0600  50.8934   5.4854   1.7346
  4.0800  51.7023   5.1823   1.6388
  4.1000  52.4739   5.0010   1.5815
  4.1200  53.2014   4.9489   1.5650
  4.1400  53.8827   4.9556   1.5671
  4.1600  54.5268   4.9299   1.5590
  4.1800  55.1495   4.8102   1.5211
  4.2000  55.7769   4.5763   1.4472
  4.2200  56.4273   4.2132   1.3323
  4.2400  57.1027   3.7226   1.1772
  4.2600  57.7720   3.1693   1.0022
  4.2800  58.3760   2.6855   0.8492
  4.3000  58.8605   2.3919   0.7564
  4.3200  59.2004   2.2894   0.7240
  4.3400  59.4197   2.2807   0.7212
  4.3600  59.5738   2.2913   0.7246
  4.3800  59.7296   2.3068   0.7295
  4.4000  59.9377   2.3343   0.7382
