#Mean of hydro_01m.dat hydro_02m.dat hydro_03m.dat hydro_04m.dat hydro_05m.dat hydro_06m.dat hydro_07m.dat hydro_08m.dat
#Fields: dist.z  meanFes  stdDeviation  stdError
#gnuplot command: plot './mintozeroFes.dat' u 1:2:4 w e
 -1.2200   8.2095   2.8941   1.0232
 -1.2000   8.5529   3.0158   1.0663
 -1.1800   8.8805   3.1430   1.1112
 -1.1600   9.1902   3.2492   1.1488
 -1.1400   9.4839   3.3626   1.1888
 -1.1200   9.7589   3.5216   1.2451
 -1.1000  10.0187   3.6717   1.2981
 -1.0800  10.2748   3.6901   1.3046
 -1.0600  10.5503   3.4890   1.2335
 -1.0400  10.8883   3.1088   1.0991
 -1.0200  11.3359   2.7209   0.9620
 -1.0000  11.9242   2.5191   0.8906
 -0.9800  12.6431   2.5385   0.8975
 -0.9600  13.4459   2.6389   0.9330
 -0.9400  14.2559   2.7009   0.9549
 -0.9200  14.9991   2.6865   0.9498
 -0.9000  15.6272   2.6042   0.9207
 -0.8800  16.1347   2.4569   0.8686
 -0.8600  16.5503   2.2685   0.8020
 -0.8400  16.9237   2.0901   0.7390
 -0.8200  17.2965   1.9676   0.6957
 -0.8000  17.6897   1.9249   0.6806
 -0.7800  18.0952   2.0089   0.7103
 -0.7600  18.4885   2.2432   0.7931
 -0.7400  18.8436   2.5561   0.9037
 -0.7200  19.1546   2.8337   1.0019
 -0.7000  19.4489   3.0211   1.0681
 -0.6800  19.7759   3.1433   1.1113
 -0.6600  20.1884   3.2395   1.1453
 -0.6400  20.7134   3.2975   1.1658
 -0.6200  21.3356   3.2691   1.1558
 -0.6000  21.9966   3.1462   1.1123
 -0.5800  22.6146   2.9863   1.0558
 -0.5600  23.1051   2.8751   1.0165
 -0.5400  23.4196   2.8473   1.0067
 -0.5200  23.5573   2.8707   1.0149
 -0.5000  23.5693   2.8958   1.0238
 -0.4800  23.5396   2.8985   1.0248
 -0.4600  23.5553   2.8892   1.0215
 -0.4400  23.6688   2.8869   1.0207
 -0.4200  23.8833   2.9080   1.0281
 -0.4000  24.1570   2.9522   1.0438
 -0.3800  24.4318   3.0108   1.0645
 -0.3600  24.6610   3.0675   1.0845
 -0.3400  24.8232   3.1154   1.1015
 -0.3200  24.9232   3.1565   1.1160
 -0.3000  24.9784   3.1984   1.1308
 -0.2800  25.0065   3.2419   1.1462
 -0.2600  25.0251   3.2877   1.1624
 -0.2400  25.0486   3.3332   1.1785
 -0.2200  25.0920   3.3760   1.1936
 -0.2000  25.1631   3.4061   1.2042
 -0.1800  25.2582   3.4182   1.2085
 -0.1600  25.3630   3.4237   1.2105
 -0.1400  25.4568   3.4392   1.2159
 -0.1200  25.5242   3.4676   1.2260
 -0.1000  25.5579   3.4948   1.2356
 -0.0800  25.5579   3.5083   1.2404
 -0.0600  25.5312   3.5119   1.2416
 -0.0400  25.4913   3.5185   1.2440
 -0.0200  25.4583   3.5287   1.2476
  0.0000  25.4539   3.5243   1.2460
  0.0200  25.4950   3.4854   1.2323
  0.0400  25.5825   3.4112   1.2060
  0.0600  25.7019   3.3205   1.1740
  0.0800  25.8296   3.2390   1.1452
  0.1000  25.9430   3.1817   1.1249
  0.1200  26.0291   3.1491   1.1134
  0.1400  26.0860   3.1335   1.1078
  0.1600  26.1187   3.1272   1.1056
  0.1800  26.1353   3.1250   1.1048
  0.2000  26.1428   3.1243   1.1046
  0.2200  26.1458   3.1241   1.1045
